# Door & Key
d 54 216 level0
k 342 54

# Hero
h 54 54

# Platforms
w 18 18
w 18 36
w 18 54
w 18 72
w 18 90
w 18 108

w 54 288
w 72 288
w 90 288
w 378 288
w 378 18
w 378 36
w 378 54
w 378 72
w 378 90
w 378 108
w 378 126
w 378 144
w 378 162
w 378 180
w 378 198
w 378 216
w 378 234
w 378 252
w 378 270
w 36 18
w 54 18
w 72 18
w 90 18
w 108 18
w 126 18
w 144 18
w 162 18
w 180 18
w 198 18
w 216 18
w 234 18
w 252 18
w 270 18
w 288 18
w 306 18
w 324 18
w 342 18
w 360 18
w 36 108
w 54 108
w 72 108
w 72 126
w 72 144
w 72 162
w 72 180
w 72 198
w 72 216
w 72 234
w 54 234
w 90 234
w 108 234
w 126 234
w 144 234
w 162 234
w 180 234
w 126 180
w 126 162
w 126 144
w 126 126
w 126 108
w 126 90
w 126 72
w 126 54
w 126 36
w 198 180
w 198 162
w 198 144
w 198 126
w 198 108
w 198 90
w 198 72
w 180 180
w 180 108
w 252 180
w 252 126
w 252 108
w 252 90
w 252 72
w 252 54
w 252 36
w 306 126
w 342 72
w 180 288
w 135 288
b 162 180
